"filename", "language", "JavaScript", "JavaScript React", "CSS", "comment", "blank", "total"
"/Users/bsluther/development/gainzville/src/data/typeTemplate/FloatTemplate.js", "JavaScript", 12, 0, 0, 0, 1, 13
"/Users/bsluther/development/gainzville/src/data/typeTemplate/LengthTemplate.js", "JavaScript", 14, 0, 0, 0, 1, 15
"/Users/bsluther/development/gainzville/src/data/typeTemplate/MassTemplate.js", "JavaScript", 14, 0, 0, 0, 1, 15
"/Users/bsluther/development/gainzville/src/data/typeTemplate/PowersetTemplate.js", "JavaScript", 5, 0, 0, 0, 0, 5
"/Users/bsluther/development/gainzville/src/data/typeTemplate/SetTemplate.js", "JavaScript", 8, 0, 0, 0, 2, 10
"/Users/bsluther/development/gainzville/src/data/typeTemplate/StringTemplate.js", "JavaScript", 12, 0, 0, 0, 1, 13
"/Users/bsluther/development/gainzville/src/data/typeTemplate/TypeTemplate.js", "JavaScript", 48, 0, 0, 0, 9, 57
"/Users/bsluther/development/gainzville/src/hooks/activity/useActivityInstance.js", "JavaScript", 11, 0, 0, 0, 2, 13
"/Users/bsluther/development/gainzville/src/hooks/activity/useActivityInstances.js", "JavaScript", 10, 0, 0, 0, 3, 13
"/Users/bsluther/development/gainzville/src/hooks/activity/useActivityPair.js", "JavaScript", 0, 0, 0, 0, 1, 1
"/Users/bsluther/development/gainzville/src/hooks/activity/useActivityTemplate.js", "JavaScript", 10, 0, 0, 0, 4, 14
"/Users/bsluther/development/gainzville/src/hooks/activity/useActivityTemplates.js", "JavaScript", 9, 0, 0, 0, 5, 14
"/Users/bsluther/development/gainzville/src/hooks/activity/useDeleteActivityInstance.js", "JavaScript", 36, 0, 0, 0, 4, 40
"/Users/bsluther/development/gainzville/src/hooks/activity/useDeleteActivityTemplate.js", "JavaScript", 36, 0, 0, 0, 5, 41
"/Users/bsluther/development/gainzville/src/hooks/activity/useInsertActivityTemplate.js", "JavaScript", 34, 0, 0, 0, 5, 39
"/Users/bsluther/development/gainzville/src/hooks/activity/useNewActivityInstance.js", "JavaScript", 14, 0, 0, 0, 2, 16
"/Users/bsluther/development/gainzville/src/hooks/activity/useRemoveFacet.js", "JavaScript", 0, 0, 0, 0, 1, 1
"/Users/bsluther/development/gainzville/src/hooks/activity/useUpdateActivityInstance.js", "JavaScript", 28, 0, 0, 0, 1, 29
"/Users/bsluther/development/gainzville/src/hooks/activity/useUpdateActivityTemplate.js", "JavaScript", 51, 0, 0, 0, 4, 55
"/Users/bsluther/development/gainzville/src/hooks/activity/useUserActivityInstances.js", "JavaScript", 18, 0, 0, 0, 2, 20
"/Users/bsluther/development/gainzville/src/hooks/activity/useUserActivityPairs.js", "JavaScript", 25, 0, 0, 0, 1, 26
"/Users/bsluther/development/gainzville/src/hooks/entity/useDeleteEntity.js", "JavaScript", 41, 0, 0, 0, 9, 50
"/Users/bsluther/development/gainzville/src/hooks/facet/useFacetTemplate.js", "JavaScript", 10, 0, 0, 0, 3, 13
"/Users/bsluther/development/gainzville/src/hooks/facet/useInsertFacetTemplate.js", "JavaScript", 34, 0, 0, 0, 5, 39
"/Users/bsluther/development/gainzville/src/hooks/facet/useUserFacetTemplates.js", "JavaScript", 18, 0, 0, 0, 1, 19
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/instance/useActivityInstance.js", "JavaScript", 19, 0, 0, 0, 1, 20
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/instance/useActorActivityInstances.js", "JavaScript", 25, 0, 0, 0, 6, 31
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/instance/useDeleteActivityInstance.js", "JavaScript", 41, 0, 0, 0, 5, 46
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/instance/useInsertActivityInstance.js", "JavaScript", 43, 0, 0, 0, 5, 48
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/instance/useUpdateActivityInstance.js", "JavaScript", 39, 0, 0, 0, 4, 43
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/template/useActivityTemplate.js", "JavaScript", 17, 0, 0, 0, 2, 19
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/template/useActivityTemplatesById.js", "JavaScript", 13, 0, 0, 0, 3, 16
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/template/useInsertActivityTemplate.js", "JavaScript", 27, 0, 0, 0, 2, 29
"/Users/bsluther/development/gainzville/src/hooks/queries/activity/template/useReplaceActivityTemplate.js", "JavaScript", 43, 0, 0, 0, 6, 49
"/Users/bsluther/development/gainzville/src/hooks/queries/facet/useFacetTemplates.js", "JavaScript", 29, 0, 0, 0, 2, 31
"/Users/bsluther/development/gainzville/src/hooks/queries/library/useDeleteLibrary.js", "JavaScript", 11, 0, 0, 0, 2, 13
"/Users/bsluther/development/gainzville/src/hooks/queries/library/useInsertLibrary.js", "JavaScript", 39, 0, 0, 0, 5, 44
"/Users/bsluther/development/gainzville/src/hooks/queries/library/useLibraries.js", "JavaScript", 61, 0, 0, 1, 6, 68
"/Users/bsluther/development/gainzville/src/hooks/queries/library/useLibrary.js", "JavaScript", 33, 0, 0, 0, 1, 34
"/Users/bsluther/development/gainzville/src/hooks/queries/library/useReplaceLibrary.js", "JavaScript", 73, 0, 0, 0, 7, 80
"/Users/bsluther/development/gainzville/src/hooks/queries/library/useUserLibraries.js", "JavaScript", 20, 0, 0, 1, 4, 25
"/Users/bsluther/development/gainzville/src/hooks/queries/type/useTypeTemplates.js", "JavaScript", 30, 0, 0, 0, 2, 32
"/Users/bsluther/development/gainzville/src/hooks/queries/user/useUpdateUser.js", "JavaScript", 23, 0, 0, 0, 2, 25
"/Users/bsluther/development/gainzville/src/hooks/queries/user/useUser.js", "JavaScript", 22, 0, 0, 0, 2, 24
"/Users/bsluther/development/gainzville/src/hooks/type/useTypeTemplate.js", "JavaScript", 27, 0, 0, 0, 6, 33
"/Users/bsluther/development/gainzville/src/hooks/type/useTypeTemplates.js", "JavaScript", 16, 0, 0, 0, 2, 18
"/Users/bsluther/development/gainzville/src/hooks/type/useUserTypeTemplates.js", "JavaScript", 23, 0, 0, 1, 1, 25
